timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1528090288242,5,login,200,OK,REST 1-1,text,true,,617,278,5,5,5,0,0
1528090288242,8,login,200,OK,REST 1-2,text,true,,617,278,9,9,8,0,1
1528090288244,10,login,200,OK,REST 1-3,text,true,,617,278,11,11,9,0,1
1528090288246,11,login,200,OK,REST 1-4,text,true,,617,278,13,13,11,0,0
1528090288246,13,login,200,OK,REST 1-5,text,true,,617,278,15,15,13,0,2
1528090288248,40,login,200,OK,REST 1-6,text,true,,617,278,34,34,40,0,1
1528090288248,42,get devices,200,OK,REST 1-1,text,true,,71379,624,36,36,36,0,0
1528090288249,41,login,200,OK,REST 1-8,text,true,,617,278,38,38,41,0,0
1528090288250,43,login,200,OK,REST 1-7,text,true,,617,278,40,40,43,0,0
1528090288250,46,login,200,OK,REST 1-9,text,true,,617,278,42,42,46,0,2
1528090288255,70,login,200,OK,REST 1-13,text,true,,617,278,72,72,70,0,1
1528090288255,71,get devices,200,OK,REST 1-2,text,true,,71379,624,75,75,65,0,1
1528090288256,74,login,200,OK,REST 1-14,text,true,,617,278,76,76,74,0,1
1528090288256,74,login,200,OK,REST 1-10,text,true,,617,278,77,77,74,0,0
1528090288257,103,get devices,200,OK,REST 1-3,text,true,,71379,624,108,108,97,0,0
1528090288253,130,login,200,OK,REST 1-11,text,true,,617,278,131,131,130,0,5
1528090288257,128,get devices,200,OK,REST 1-4,text,true,,71379,624,134,134,121,0,1
1528090288257,128,login,200,OK,REST 1-12,text,true,,617,278,134,134,128,0,1
1528090288258,129,login,200,OK,REST 1-15,text,true,,617,278,136,136,129,0,0
1528090288261,154,login,200,OK,REST 1-16,text,true,,617,278,164,164,154,0,1
1528090288263,155,login,200,OK,REST 1-17,text,true,,617,278,167,167,155,0,1
1528090288259,159,get devices,200,OK,REST 1-5,text,true,,71379,624,167,167,152,0,1
1528090288271,151,login,200,OK,REST 1-20,text,true,,617,278,171,171,151,0,1
1528090288272,153,login,200,OK,REST 1-19,text,true,,617,278,174,174,153,0,1
1528090288264,155,login,200,OK,REST 1-18,text,true,,617,278,168,168,155,0,1
1528090288272,156,login,200,OK,REST 1-21,text,true,,617,278,177,177,156,0,1
1528090288275,155,login,200,OK,REST 1-22,text,true,,617,278,180,180,155,0,1
1528090288276,158,login,200,OK,REST 1-23,text,true,,617,278,184,184,158,0,1
1528090288277,159,login,200,OK,REST 1-24,text,true,,617,278,185,185,159,0,1
1528090288278,163,login,200,OK,REST 1-25,text,true,,617,278,190,190,163,0,1
1528090288278,164,login,200,OK,REST 1-26,text,true,,617,278,191,191,164,0,1
1528090288280,165,login,200,OK,REST 1-27,text,true,,617,278,194,194,164,0,0
1528090288281,166,login,200,OK,REST 1-28,text,true,,617,278,196,196,166,0,1
1528090288282,168,login,200,OK,REST 1-29,text,true,,617,278,198,198,168,0,1
1528090288283,170,login,200,OK,REST 1-30,text,true,,617,278,199,199,169,0,2
1528090288284,171,login,200,OK,REST 1-31,text,true,,617,278,202,202,171,0,2
1528090288284,174,login,200,OK,REST 1-32,text,true,,617,278,204,204,174,0,2
1528090288286,175,login,200,OK,REST 1-33,text,true,,617,278,207,207,175,0,2
1528090288287,177,login,200,OK,REST 1-34,text,true,,617,278,209,209,177,0,2
1528090288288,203,login,200,OK,REST 1-35,text,true,,617,278,237,237,203,0,2
1528090288288,205,get devices,200,OK,REST 1-6,text,true,,71379,624,239,239,199,0,2
1528090288289,204,login,200,OK,REST 1-36,text,true,,617,278,239,239,204,0,1
1528090288290,286,create devices,200,OK,REST 1-1,text,true,,242,912,317,317,285,0,1
1528090288290,289,login,200,OK,REST 1-37,text,true,,617,278,321,321,289,0,1
1528090288290,292,login,200,OK,REST 1-38,text,true,,617,278,324,324,292,0,1
1528090288291,319,login,200,OK,REST 1-39,text,true,,617,278,351,351,319,0,1
1528090288290,321,get devices,200,OK,REST 1-8,text,true,,71545,624,352,352,315,0,1
1528090288292,319,login,200,OK,REST 1-40,text,true,,617,278,352,352,319,0,1
1528090288294,345,login,200,OK,REST 1-41,text,true,,617,278,376,376,345,0,0
