timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1528087390933,9,login,200,OK,REST 1-1,text,true,,617,278,3,3,9,0,1
1528087390936,8,login,200,OK,REST 1-2,text,true,,617,278,4,4,8,0,1
1528087390939,8,login,200,OK,REST 1-3,text,true,,617,278,5,5,8,0,1
1528087390944,29,login,200,OK,REST 1-4,text,true,,617,278,10,10,29,0,0
1528087390943,32,get devices,200,OK,REST 1-1,text,true,,61118,624,11,11,26,0,0
1528087390947,29,login,200,OK,REST 1-5,text,true,,617,278,12,12,28,0,2
1528087390950,51,login,200,OK,REST 1-6,text,true,,617,278,18,18,51,0,9
1528087390949,53,get devices,200,OK,REST 1-3,text,true,,61118,624,18,18,48,0,1
1528087390958,67,login,200,OK,REST 1-7,text,true,,617,278,25,25,67,0,0
1528087390955,72,get devices,200,OK,REST 1-2,text,true,,61118,624,26,26,67,0,1
1528087390961,66,login,200,OK,REST 1-8,text,true,,617,278,26,26,66,0,1
1528087390964,66,login,200,OK,REST 1-9,text,true,,617,278,27,27,66,0,1
1528087390969,64,login,200,OK,REST 1-10,text,true,,617,278,27,27,64,0,1
1528087390973,85,login,200,OK,REST 1-11,text,true,,617,278,32,32,85,0,5
1528087390973,86,get devices,200,OK,REST 1-4,text,true,,61118,624,32,32,81,0,2
1528087390975,141,create devices,200,OK,REST 1-1,text,true,,242,912,48,48,141,0,1
1528087390975,145,login,200,OK,REST 1-12,text,true,,617,278,49,49,144,0,1
1528087390980,165,login,200,OK,REST 1-13,text,true,,617,278,56,56,165,0,1
1528087390976,170,get devices,200,OK,REST 1-5,text,true,,61284,624,57,57,165,0,0
1528087390983,163,login,200,OK,REST 1-14,text,true,,617,278,57,57,163,0,2
1528087390988,161,login,200,OK,REST 1-15,text,true,,617,278,57,57,161,0,0
1528087390992,160,login,200,OK,REST 1-16,text,true,,617,278,58,58,160,0,1
1528087390995,160,login,200,OK,REST 1-17,text,true,,617,278,59,59,160,0,1
1528087390998,159,login,200,OK,REST 1-18,text,true,,617,278,60,60,159,0,2
1528087391003,180,login,200,OK,REST 1-19,text,true,,617,278,67,67,180,0,1
1528087391002,182,get devices,200,OK,REST 1-6,text,true,,61284,624,68,68,176,0,0
1528087391006,178,login,200,OK,REST 1-20,text,true,,617,278,68,68,178,0,1
1528087391009,178,login,200,OK,REST 1-21,text,true,,617,278,69,69,178,0,0
1528087391013,290,create devices,200,OK,REST 1-3,text,true,,242,912,101,101,290,0,1
1528087391013,295,login,200,OK,REST 1-22,text,true,,617,278,102,102,293,0,1
1528087391016,293,login,200,OK,REST 1-23,text,true,,617,278,102,102,293,0,1
1528087391019,292,login,200,OK,REST 1-24,text,true,,617,278,104,104,292,0,2
1528087391025,289,login,200,OK,REST 1-25,text,true,,617,278,105,105,289,0,1
1528087391026,314,login,200,OK,REST 1-26,text,true,,617,278,112,112,314,0,1
1528087391025,316,get devices,200,OK,REST 1-7,text,true,,61450,624,112,112,311,0,2
1528087391027,399,create devices,200,OK,REST 1-2,text,true,,242,912,136,136,399,0,0
1528087391029,422,login,200,OK,REST 1-27,text,true,,617,278,143,143,422,0,1
1528087391027,426,get devices,200,OK,REST 1-8,text,true,,61616,624,144,144,420,0,1
1528087391030,446,get devices,200,OK,REST 1-9,text,true,,61616,624,150,150,441,0,1
1528087391034,462,login,200,OK,REST 1-28,text,true,,617,278,156,156,462,0,0
1528087391033,464,get devices,200,OK,REST 1-10,text,true,,61616,624,156,156,458,0,1
1528087391037,461,login,200,OK,REST 1-29,text,true,,617,278,156,156,461,0,0
1528087391040,461,login,200,OK,REST 1-30,text,true,,617,278,157,157,461,0,1
1528087391047,457,login,200,OK,REST 1-31,text,true,,617,278,158,158,456,0,1
1528087391052,454,login,200,OK,REST 1-32,text,true,,617,278,159,159,454,0,3
1528087391058,474,get devices,200,OK,REST 1-11,text,true,,61616,624,166,166,469,0,1
1528087391059,541,create devices,200,OK,REST 1-4,text,true,,242,912,184,184,541,0,0
